Player,Salary,Season
Patrick Williams,"$7,068,360 ",2020-21
Patrick Patterson,"$5,192,000 ",2017-18
Patrick Patterson,"$5,451,600 ",2018-19
Patrick Patterson,"$2,331,593 ",2019-20
Patrick Patterson,"$3,814,771 ",2020-21
Patty Mills,"$10,714,286 ",2017-18
Patty Mills,"$11,571,429 ",2018-19
Patty Mills,"$12,678,571 ",2019-20
Patty Mills,"$13,535,714 ",2020-21
Patrick McCaw,"$1,312,611 ",2017-18
Patrick McCaw,"$964,104 ",2018-19
Patrick McCaw,"$4,000,000 ",2019-20
Patrick McCaw,"$4,000,000 ",2020-21
Patrick Beverley,"$5,513,514 ",2017-18
Patrick Beverley,"$5,027,028 ",2018-19
Patrick Beverley,"$12,345,680 ",2019-20
Patrick Beverley,"$13,333,333 ",2020-21
Pat Connaughton,"$1,471,382 ",2017-18
Pat Connaughton,"$1,641,000 ",2018-19
Pat Connaughton,"$1,723,050 ",2019-20
Pat Connaughton,"$4,938,273 ",2020-21
Pascal Siakam,"$1,312,611 ",2017-18
Pascal Siakam,"$1,544,951 ",2018-19
Pascal Siakam,"$2,351,838 ",2019-20
Pascal Siakam,"$30,559,200 ",2020-21
Otto Porter,"$24,773,250 ",2017-18
Otto Porter,"$26,011,913 ",2018-19
Otto Porter,"$27,250,576 ",2019-20
Otto Porter,"$28,489,239 ",2020-21
Oshae Brissett,"$129,568 ",2019-20
Oshae Brissett,"$1,255,493 ",2020-21
Onyeka Okongwu,"$5,813,640 ",2020-21
Omri Casspi,"$2,106,470 ",2017-18
Omri Casspi,"$2,176,260 ",2018-19
Omer Asik,"$10,595,505 ",2017-18
Omer Asik,"$11,286,516 ",2018-19
Omari Spellman,"$1,622,520 ",2018-19
Omari Spellman,"$1,897,800 ",2019-20
Omari Spellman,"$1,988,280 ",2020-21
Omari Johnson,"$170,495 ",2017-18
Okaro White,"$1,460,927 ",2017-18
Okaro White,"$247,827 ",2018-19
OG Anunoby,"$1,645,200 ",2017-18
OG Anunoby,"$1,952,760 ",2018-19
OG Anunoby,"$2,281,800 ",2019-20
OG Anunoby,"$3,872,215 ",2020-21
Obi Toppin,"$4,862,040 ",2020-21
Norvel Pelle,"$350,189 ",2019-20
Norvel Pelle,"$1,014,905 ",2020-21
Norman Powell,"$1,471,382 ",2017-18
Norman Powell,"$9,367,200 ",2018-19
Norman Powell,"$10,116,576 ",2019-20
Norman Powell,"$10,865,952 ",2020-21
